,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
186,CFG.N,2019-07-31T00:00:00Z,6.38112434795817,17078328687.24,37.26
187,CFG.N,2019-08-30T00:00:00Z,-9.44712828782274,15084699117.32,33.74
188,CFG.N,2019-09-30T00:00:00Z,4.83106105743842,15701221379.2499,35.37
189,CFG.N,2019-10-31T00:00:00Z,0.407851075747168,15284717965.56,35.16
190,CFG.N,2019-11-29T00:00:00Z,8.33802816657605,16719290470.86,38.46
191,CFG.N,2019-12-31T00:00:00Z,5.59022360919352,17653936194.01,40.61
192,CFG.N,2020-01-31T00:00:00Z,-7.25804022060778,16206322120.48,37.28
193,CFG.N,2020-02-28T00:00:00Z,-15.7628920785371,13545396262.76,31.69
194,CFG.N,2020-03-31T00:00:00Z,-40.6437361939409,8024092685.73,18.81
195,CFG.N,2020-04-30T00:00:00Z,15.9376573233572,9551272473.87,22.39
196,CFG.N,2020-05-29T00:00:00Z,7.63733809549623,10281519273.7,24.1
197,CFG.N,2020-06-30T00:00:00Z,4.73029045690816,10773052752.56,25.24
198,CFG.N,2020-07-31T00:00:00Z,-0.118219928398233,10589619823.71,24.81
199,CFG.N,2020-08-31T00:00:00Z,4.27247077930499,11042058236.17,25.87
200,CFG.N,2020-09-30T00:00:00Z,-3.84176492974645,10796407563.52,25.28
201,CFG.N,2020-10-30T00:00:00Z,9.36958428773609,11637741539.0,27.25
202,CFG.N,2020-11-30T00:00:00Z,19.8532110065157,13948206923.4399,32.66
203,CFG.N,2020-12-31T00:00:00Z,9.4917330058957,15272133483.8399,35.76
204,CFG.N,2021-01-29T00:00:00Z,1.90156599427058,15562543180.96,36.44
205,CFG.N,2021-02-26T00:00:00Z,17.9406457556307,18466622841.36,43.44
206,CFG.N,2021-03-31T00:00:00Z,1.63443830505226,18768448398.85,44.15
207,CFG.N,2021-04-30T00:00:00Z,4.22252014573647,19712047758.52,46.28
208,CFG.N,2021-05-28T00:00:00Z,7.82195332569791,21253914934.1,49.9
209,CFG.N,2021-06-30T00:00:00Z,-8.07615230619064,19537416393.3299,45.87
210,CFG.N,2021-07-30T00:00:00Z,-7.25153705370615,17963665477.5199,42.16
211,CFG.N,2021-08-31T00:00:00Z,3.86622390796616,18658181007.13,43.79
212,CFG.N,2021-09-30T00:00:00Z,8.09940174992862,20022856080.48,46.98
213,CFG.N,2021-10-29T00:00:00Z,1.67255466118084,20193335910.88,47.38
214,CFG.N,2021-11-30T00:00:00Z,-0.232165469235157,20146453957.52,47.27
215,CFG.N,2021-12-31T00:00:00Z,-0.042310133387091,20137929966.0,47.25
216,CFG.N,2022-01-31T00:00:00Z,9.75294177862058,21727627328.48,51.47
217,CFG.N,2022-02-28T00:00:00Z,1.39264989948868,22128723741.3,52.42
218,CFG.N,2022-03-31T00:00:00Z,-13.5253719976875,19135731537.45,45.33
219,CFG.N,2022-04-29T00:00:00Z,-15.8119658108197,19520573700.2,39.4
220,CFG.N,2022-05-31T00:00:00Z,6.06497204452847,20501556845.54,41.38
221,CFG.N,2022-06-30T00:00:00Z,-12.674333250952,17689757743.71,35.69
222,CFG.N,2022-07-29T00:00:00Z,6.38834407463704,18819579935.97,37.97
223,CFG.N,2022-08-31T00:00:00Z,-2.31777335307151,18180199948.68,36.68
224,CFG.N,2022-09-30T00:00:00Z,-6.47795318452166,17030571211.88,34.36
225,CFG.N,2022-10-31T00:00:00Z,19.033760187988,20142880509.3999,40.9
226,CFG.N,2022-11-30T00:00:00Z,4.49035716901673,20871767139.08,42.38
227,CFG.N,2022-12-30T00:00:00Z,-7.1024067950523,19389369331.42,39.37
228,CFG.N,2023-01-31T00:00:00Z,11.1258048499452,20971491847.2,43.32
229,CFG.N,2023-02-28T00:00:00Z,-2.57626162123832,20224730977.92,41.76
230,CFG.N,2023-03-31T00:00:00Z,-27.2749042136127,14698541357.68,30.37
231,CFG.N,2023-04-28T00:00:00Z,0.552486190308388,14974597445.08,30.94
232,CFG.N,2023-05-31T00:00:00Z,-15.3779424287416,12477217909.96,25.78
233,CFG.N,2023-06-30T00:00:00Z,-4.01177769766932,12379726354.72,26.08
234,CFG.N,2023-07-31T00:00:00Z,23.6963190174252,15236217666.5999,32.26
235,CFG.N,2023-08-31T00:00:00Z,-11.6246414300152,13285641753.3,28.13
236,CFG.N,2023-09-29T00:00:00Z,-4.25151839965602,12657490188.0,26.8
237,CFG.N,2023-10-31T00:00:00Z,-11.0074626869829,10923604116.81,23.43
238,CFG.N,2023-11-30T00:00:00Z,18.678216448481,12713900310.09,27.27
239,CFG.N,2023-12-29T00:00:00Z,21.5254858833594,15450629126.38,33.14
240,CFG.N,2024-01-31T00:00:00Z,-0.119820579846841,15245491020.9,32.7
241,CFG.N,2024-02-29T00:00:00Z,-7.25553029999819,14390086341.39,31.39
242,CFG.N,2024-03-28T00:00:00Z,15.6100669010458,16636388446.2899,36.29
243,CFG.N,2024-04-30T00:00:00Z,-4.84982088614309,15520731210.81,34.11
244,CFG.N,2024-05-31T00:00:00Z,3.45939607105235,16057654776.59,35.29
245,CFG.N,2024-06-28T00:00:00Z,4.70793374269267,16394369555.13,36.03
246,CFG.N,2024-07-31T00:00:00Z,19.5947821260062,19128980884.22,42.67
247,CFG.N,2024-08-30T00:00:00Z,0.890555425357409,19299335061.3,43.05
248,CFG.N,2024-09-30T00:00:00Z,-4.59930313588856,18411700138.62,41.07
249,CFG.N,2024-10-31T00:00:00Z,3.56536421224058,18562306449.96,42.12
250,CFG.N,2024-11-29T00:00:00Z,12.7400468384075,21215323658.62,48.14
