,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
179,TSLA.OQ,2018-12-31T00:00:00Z,-5.04451038456509,57152667520.0,22.18664448
180,TSLA.OQ,2019-01-31T00:00:00Z,-7.74639423044444,52725396580.5,20.467979532
181,TSLA.OQ,2019-02-28T00:00:00Z,7.92901005293607,55250149261.56,21.325312008
182,TSLA.OQ,2019-03-29T00:00:00Z,-12.5109416024493,48337835351.82,18.657314676
183,TSLA.OQ,2019-04-30T00:00:00Z,-14.7109268905806,41465417990.69,15.912650754
184,TSLA.OQ,2019-05-31T00:00:00Z,-22.4265784070861,32730436203.36,12.343987656
185,TSLA.OQ,2019-06-28T00:00:00Z,18.7227712267231,39500665770.16,14.897318436
186,TSLA.OQ,2019-07-31T00:00:00Z,8.12225901553156,43278932214.79,16.107317226
187,TSLA.OQ,2019-08-30T00:00:00Z,-6.62224245648179,40412896390.79,15.040651626
188,TSLA.OQ,2019-09-30T00:00:00Z,6.76388457838715,43146378057.9299,16.057983942
189,TSLA.OQ,2019-10-31T00:00:00Z,30.7427242900497,56762710681.36,20.994645672
190,TSLA.OQ,2019-11-29T00:00:00Z,4.73953207718447,59469988448.52,21.995978004
191,TSLA.OQ,2019-12-31T00:00:00Z,26.7897193411668,75743702436.3799,27.888638778
192,TSLA.OQ,2020-01-31T00:00:00Z,55.5159802014649,117793561289.02,43.371289962
193,TSLA.OQ,2020-02-28T00:00:00Z,14.9744401803215,122983362352.14,44.532622134
194,TSLA.OQ,2020-03-31T00:00:00Z,-21.555711910737,96473423064.0,34.9332984
195,TSLA.OQ,2020-04-30T00:00:00Z,55.7126640530982,144937959577.4,52.125281208
196,TSLA.OQ,2020-05-29T00:00:00Z,6.79388141616679,154784872675.0,55.666611
197,TSLA.OQ,2020-06-30T00:00:00Z,29.31856287383,201189012488.81,71.987261346
198,TSLA.OQ,2020-07-31T00:00:00Z,32.5010881538879,266638903091.76,95.383904616
199,TSLA.OQ,2020-08-31T00:00:00Z,74.14520953965,464338876501.6,166.10650056
200,TSLA.OQ,2020-09-30T00:00:00Z,-3.08800939623151,399755220356.3,143.00319033
201,TSLA.OQ,2020-10-30T00:00:00Z,-9.54989394378445,367823400433.32,129.34653732
202,TSLA.OQ,2020-11-30T00:00:00Z,46.273580043385,538028456050.8,189.1998108
203,TSLA.OQ,2020-12-31T00:00:00Z,24.3252290358,668905110256.11,235.22309811
204,TSLA.OQ,2021-01-29T00:00:00Z,12.4505788798922,752187668657.49,264.50973549
205,TSLA.OQ,2021-02-26T00:00:00Z,-19.143435117336,648381041952.0,225.1664415
206,TSLA.OQ,2021-03-31T00:00:00Z,-1.12065136894097,641114950926.72,222.64311069
207,TSLA.OQ,2021-04-30T00:00:00Z,11.6138573344128,683425153029.12,236.47976352
208,TSLA.OQ,2021-05-28T00:00:00Z,-11.8713351377854,602293462698.56,208.40645826
209,TSLA.OQ,2021-06-30T00:00:00Z,8.71373276596972,654775705505.6,226.5664401
210,TSLA.OQ,2021-07-30T00:00:00Z,1.10342798317031,680338416577.6,229.0664376
211,TSLA.OQ,2021-08-31T00:00:00Z,7.06053550613761,728373952043.76,245.23975476
212,TSLA.OQ,2021-09-30T00:00:00Z,6.09787798838157,767736954725.84,258.49307484
213,TSLA.OQ,2021-10-29T00:00:00Z,43.6529633242379,1118751045128.0,371.332962
214,TSLA.OQ,2021-11-30T00:00:00Z,2.76122082507924,1149642231975.52,381.58628508
215,TSLA.OQ,2021-12-31T00:00:00Z,-7.68545371744218,1061287010296.55,352.25964774
