,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
230,PYPL.OQ,2023-03-31T00:00:00Z,3.1793478243261,85265888247.52,75.94
231,PYPL.OQ,2023-04-28T00:00:00Z,2.16426939101997,85333256608.0,76.0
232,PYPL.OQ,2023-05-31T00:00:00Z,-18.4342105258602,69163108876.32,61.99
233,PYPL.OQ,2023-06-30T00:00:00Z,7.542304590788,74451593084.64,66.73
234,PYPL.OQ,2023-07-31T00:00:00Z,13.6220590421234,83253201051.2199,75.82
235,PYPL.OQ,2023-08-31T00:00:00Z,-17.5547348988788,68638322312.21,62.51
236,PYPL.OQ,2023-09-29T00:00:00Z,-7.82087669535202,64191270554.66,58.46
237,PYPL.OQ,2023-10-31T00:00:00Z,-11.3924050642733,55847663603.2,51.8
238,PYPL.OQ,2023-11-30T00:00:00Z,12.8501469155452,62111658304.64,57.61
239,PYPL.OQ,2023-12-29T00:00:00Z,6.59607706892886,66208591155.84,61.41
240,PYPL.OQ,2024-01-31T00:00:00Z,-0.097703957673334,66143902742.4,61.35
241,PYPL.OQ,2024-02-29T00:00:00Z,-5.36386449277381,64668904073.76,60.34
242,PYPL.OQ,2024-03-28T00:00:00Z,11.0208816694894,70516577145.6299,66.99
243,PYPL.OQ,2024-04-30T00:00:00Z,1.38826690795866,71047447104.72,67.92
244,PYPL.OQ,2024-05-31T00:00:00Z,-7.25853945867769,65890440122.59,62.99
245,PYPL.OQ,2024-06-28T00:00:00Z,-7.16685330242616,60702051759.23,58.03
246,PYPL.OQ,2024-07-31T00:00:00Z,13.3551611235568,67249090591.54,65.78
247,PYPL.OQ,2024-08-30T00:00:00Z,10.1094557616298,74047607654.99,72.43
248,PYPL.OQ,2024-09-30T00:00:00Z,7.731602926964,78498180000.0,78.03
249,PYPL.OQ,2024-10-31T00:00:00Z,1.62757913622964,79501329060.4,79.3
250,PYPL.OQ,2024-11-29T00:00:00Z,10.9307082587574,86990294105.56,86.77
